0.08	0.07	0.06	0.06	0.07	0.73	0.66	0.65	0.73	0.80	0.86	0.89	0.89	0.86	0.82	0.75	0.78	0.91	0.24	0.18	0.15	0.13	0.11	0.10
0.03	0.03	0.02	0.02	0.03	0.64	0.77	0.62	0.42	0.37	0.37	0.37	0.36	0.35	0.32	0.28	0.23	0.17	0.08	0.07	0.06	0.05	0.04	0.04
0.03	0.02	0.02	0.02	0.02	0.56	0.76	0.74	0.58	0.37	0.29	0.27	0.26	0.24	0.22	0.20	0.16	0.12	0.06	0.05	0.04	0.04	0.03	0.03
0.03	0.02	0.02	0.02	0.02	0.52	0.76	0.80	0.71	0.52	0.31	0.26	0.24	0.22	0.20	0.18	0.15	0.11	0.06	0.05	0.04	0.04	0.03	0.03
0.03	0.02	0.02	0.02	0.02	0.47	0.72	0.80	0.76	0.62	0.41	0.27	0.24	0.22	0.20	0.17	0.14	0.11	0.06	0.05	0.05	0.04	0.03	0.03
0.03	0.03	0.02	0.02	0.02	0.41	0.67	0.79	0.80	0.72	0.54	0.34	0.27	0.24	0.21	0.19	0.15	0.12	0.07	0.06	0.05	0.04	0.04	0.03
0.03	0.03	0.02	0.02	0.02	0.30	0.57	0.74	0.81	0.79	0.68	0.49	0.33	0.28	0.25	0.22	0.18	0.13	0.08	0.07	0.06	0.05	0.04	0.04
0.04	0.03	0.03	0.03	0.02	0.01	0.31	0.54	0.72	0.81	0.81	0.71	0.54	0.38	0.32	0.27	0.22	0.16	0.09	0.08	0.07	0.06	0.05	0.04
0.04	0.04	0.03	0.03	0.03	0.09	0.02	0.02	0.38	0.58	0.75	0.83	0.80	0.68	0.50	0.35	0.27	0.19	0.11	0.09	0.08	0.07	0.06	0.05
0.05	0.04	0.04	0.03	0.03	0.09	0.14	0.18	0.22	0.27	0.43	0.63	0.78	0.84	0.80	0.66	0.46	0.25	0.13	0.11	0.09	0.08	0.07	0.06
0.05	0.05	0.04	0.04	0.03	0.07	0.11	0.14	0.16	0.19	0.22	0.38	0.59	0.75	0.83	0.81	0.69	0.45	0.16	0.12	0.10	0.09	0.07	0.06
0.05	0.05	0.04	0.04	0.03	0.07	0.10	0.12	0.14	0.16	0.17	0.23	0.44	0.64	0.78	0.84	0.78	0.55	0.16	0.12	0.10	0.09	0.07	0.06
0.05	0.05	0.04	0.04	0.03	0.06	0.09	0.11	0.13	0.15	0.16	0.17	0.31	0.53	0.72	0.82	0.81	0.61	0.16	0.12	0.10	0.08	0.07	0.06
0.05	0.05	0.04	0.03	0.03	0.07	0.10	0.12	0.14	0.16	0.17	0.18	0.22	0.43	0.65	0.80	0.84	0.66	0.16	0.12	0.10	0.08	0.07	0.06
0.05	0.04	0.04	0.03	0.03	0.07	0.11	0.14	0.17	0.19	0.20	0.21	0.22	0.30	0.52	0.73	0.82	0.69	0.16	0.12	0.10	0.08	0.07	0.06
0.05	0.05	0.04	0.03	0.03	0.11	0.17	0.22	0.26	0.30	0.32	0.33	0.34	0.34	0.39	0.61	0.82	0.76	0.17	0.12	0.10	0.08	0.07	0.06
